,naic_cd,naics_code_description,total_flsa_bw_atp_amt,total_flsa_ee_atp_cnt,total_observations,num_firms,num_establishments,num_employed,payroll,receipts,flsa_severity_idx,flsa_reported_rt,flsa_suscptbl_idx
"('331521', 'Aluminum Die-Casting Foundries')",331521,Aluminum Die-Casting Foundries,0.0,0.0,11,725,788,52681,2002468,10608516,,0.208803933107,
"('331522', 'Nonferrous (except Aluminum) Die-Casting Foundries')",331522,Nonferrous (except Aluminum) Die-Casting Foundries,0.0,0.0,5,636,662,32647,1248942,6400196,,0.153153429105,
"('331524', 'Aluminum Foundries (except Die-Casting)')",331524,Aluminum Foundries (except Die-Casting),0.0,0.0,4,1529,1596,67522,2578146,10567091,,0.0592399514232,
"('331528', 'Other Nonferrous Foundries (except Die-Casting)')",331528,Other Nonferrous Foundries (except Die-Casting),0.0,0.0,2,418,426,11882,582490,3102558,,0.168321831342,
"('3321', 'Forging and Stamping')",3321,Forging and Stamping,0.0,0.0,1,8310,8929,338241,15169030,85039122,,0.00295647186474,
"('33211', 'Forging and Stamping')",33211,Forging and Stamping,0.0,0.0,5,8310,8929,338241,15169030,85039122,,0.0147823593237,
"('332111', 'Iron and Steel Forging')",332111,Iron and Steel Forging,0.0,0.0,34,1280,1360,59469,2932057,17900218,,0.571726445711,
"('332112', 'Nonferrous Forging')",332112,Nonferrous Forging,3185.09,5.5,2,189,212,19123,1144678,8239974,0.166558071432,0.104586100507,1.592545
"('332114', 'Custom Roll Forming')",332114,Custom Roll Forming,0.0,0.0,1,1124,1307,48555,2269136,19535678,,0.0205952013181,
"('332116', 'Metal Stamping')",332116,Metal Stamping,0.0,0.0,9,5230,5460,181629,7630960,33072829,,0.0495515583965,
"('332117', 'Powder Metallurgy Part Manufacturing')",332117,Powder Metallurgy Part Manufacturing,0.0,0.0,3,373,406,17132,662951,2972062,,0.175110903572,
"('3322', 'Cutlery and Handtool Manufacturing')",3322,Cutlery and Handtool Manufacturing,40151.44,5.0,1,5045,5341,134425,5796891,27776297,0.298690273387,0.00743909243072,40.15144
"('33221', 'Cutlery and Handtool Manufacturing')",33221,Cutlery and Handtool Manufacturing,1152.88,3.0,3,5045,5341,134425,5796891,27776297,0.00857638088153,0.0223172772922,0.384293333333
"('332211', 'Cutlery and Flatware (except Precious) Manufacturing')",332211,Cutlery and Flatware (except Precious) Manufacturing,15237.23,10.5,2,519,524,13402,635907,3393500,1.13693702432,0.149231457991,7.618615
"('332212', 'Hand and Edge Tool Manufacturing')",332212,Hand and Edge Tool Manufacturing,1236.94,3.0,5,3874,4098,96078,4045849,17743571,0.0128743312725,0.0520410499802,0.247388
"('332213', 'Saw Blade and Handsaw Manufacturing')",332213,Saw Blade and Handsaw Manufacturing,13378.31,5.5,2,477,498,14298,673557,3202177,0.935677017765,0.139879703455,6.689155
"('332214', 'Kitchen Utensil, Pot, and Pan Manufacturing')",332214,"Kitchen Utensil, Pot, and Pan Manufacturing",2382.22,3.0,3,201,221,9450,392475,3161120,0.252086772487,0.31746031746,0.794073333333
"('3323', 'Architectural and Structural Metals Manufacturing')",3323,Architectural and Structural Metals Manufacturing,957.0,1.0,17,46683,49034,1125480,46599122,241965827,0.000850303870349,0.0151046664534,0.0562941176471
"('33231', 'Plate Work and Fabricated Structural Product Manufacturing')",33231,Plate Work and Fabricated Structural Product Manufacturing,0.0,0.0,7,18827,19808,486558,21628002,125755990,,0.0143867740331,
"('332311', 'Prefabricated Metal Building and Component Manufacturing')",332311,Prefabricated Metal Building and Component Manufacturing,0.0,0.0,32,2649,2877,80034,3295464,19695238,,0.399830072219,
"('332312', 'Fabricated Structural Metal Manufacturing')",332312,Fabricated Structural Metal Manufacturing,1231.135,1.0,72,12200,12822,308276,14222993,87232066,0.00399361286639,0.23355694248,0.0170990972222
"('332313', 'Plate Work Manufacturing')",332313,Plate Work Manufacturing,0.0,0.0,3,4028,4109,98248,4109545,18828686,,0.0305349727221,
"('33232', 'Ornamental and Architectural Metal Products Manufacturing')",33232,Ornamental and Architectural Metal Products Manufacturing,6216.31,7.5,6,27963,29226,638922,24971120,116209837,0.00972937228644,0.00939081765849,1.03605166667
"('332321', 'Metal Window and Door Manufacturing')",332321,Metal Window and Door Manufacturing,294.83,1.0,75,3975,4386,186778,6589555,34407457,0.00157850496311,0.401546220647,0.00393106666667
"('332322', 'Sheet Metal Work Manufacturing')",332322,Sheet Metal Work Manufacturing,0.0,0.0,76,14273,14928,330821,13525944,59830393,,0.229731486212,
"('332323', 'Ornamental and Architectural Metal Work Manufacturing')",332323,Ornamental and Architectural Metal Work Manufacturing,287.67,1.0,32,9782,9912,121323,4855621,21971987,0.00237110852847,0.263758726705,0.0089896875
"('3324', 'Boiler, Tank, and Shipping Container Manufacturing')",3324,"Boiler, Tank, and Shipping Container Manufacturing",0.0,0.0,3,4449,5064,233758,11292876,73686118,,0.0128337853678,
"('33241', 'Power Boiler and Heat Exchanger Manufacturing')",33241,Power Boiler and Heat Exchanger Manufacturing,0.0,0.0,3,921,991,55996,3008746,14524010,,0.0535752553754,
"('332410', 'Power Boiler and Heat Exchanger Manufacturing')",332410,Power Boiler and Heat Exchanger Manufacturing,0.0,0.0,7,921,991,55996,3008746,14524010,,0.125008929209,
"('33242', 'Metal Tank (Heavy Gauge) Manufacturing')",33242,Metal Tank (Heavy Gauge) Manufacturing,5585.06,4.5,2,2066,2212,95665,4391892,20972674,0.0583814352166,0.020906287566,2.79253
"('332420', 'Metal Tank (Heavy Gauge) Manufacturing')",332420,Metal Tank (Heavy Gauge) Manufacturing,0.0,0.0,13,2066,2212,95665,4391892,20972674,,0.135890869179,
"('33243', 'Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing')",33243,"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing",0.0,0.0,4,1489,1861,82097,3892238,38189434,,0.0487228522358,
"('332431', 'Metal Can Manufacturing')",332431,Metal Can Manufacturing,0.0,0.0,1,243,500,39949,2326818,28865368,,0.0250319156925,
"('332439', 'Other Metal Container Manufacturing')",332439,Other Metal Container Manufacturing,7043.87,7.0,6,1262,1361,41146,1565420,9324066,0.171192096437,0.145822194138,1.17397833333
"('33251', 'Hardware Manufacturing')",33251,Hardware Manufacturing,0.0,0.0,5,2510,2702,104687,4253952,23559705,,0.0477614221441,
"('332510', 'Hardware Manufacturing')",332510,Hardware Manufacturing,1108.43,2.5,10,2510,2702,104687,4253952,23559705,0.0105880386294,0.0955228442882,0.110843
"('3326', 'Spring and Wire Product Manufacturing')",3326,Spring and Wire Product Manufacturing,6153.3,2.0,2,5197,5635,151136,5656928,27866449,0.0407136618675,0.0132331145458,3.07665
"('33261', 'Spring and Wire Product Manufacturing')",33261,Spring and Wire Product Manufacturing,0.0,0.0,6,5197,5635,151136,5656928,27866449,,0.0396993436375,
"('332611', 'Spring (Heavy Gauge) Manufacturing')",332611,Spring (Heavy Gauge) Manufacturing,3121.32,43.0,1,398,409,11561,482823,2637432,0.269987025344,0.0864977078107,3.12132
"('332612', 'Spring (Light Gauge) Manufacturing')",332612,Spring (Light Gauge) Manufacturing,6213.2,2.0,1,981,1141,38715,1547359,6962017,0.160485599897,0.0258297817383,6.2132
"('332618', 'Other Fabricated Wire Product Manufacturing')",332618,Other Fabricated Wire Product Manufacturing,3037.75,2.0,18,3839,4085,100729,3626746,18267000,0.0301576507262,0.178697296707,0.168763888889
"('3327', 'Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing')",3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",0.0,0.0,1,94144,95303,1252558,53332344,186630030,,0.000798366223361,
"('33271', 'Machine Shops')",33271,Machine Shops,27.0,0.5,26,82770,83386,908333,38257646,127559950,2.97247815504e-05,0.0286238637152,0.00103846153846
"('332710', 'Machine Shops')",332710,Machine Shops,520.67,1.0,139,82770,83386,908333,38257646,127559950,0.000573214889253,0.153027579093,0.00374582733813
"('33272', 'Turned Product and Screw, Nut, and Bolt Manufacturing')",33272,"Turned Product and Screw, Nut, and Bolt Manufacturing",2470.17,1.0,7,11464,11917,344225,15074698,59070080,0.00717603311787,0.0203355363498,0.352881428571
"('332721', 'Precision Turned Product Manufacturing')",332721,Precision Turned Product Manufacturing,9151.44,7.0,17,8756,8903,226666,9638627,33251359,0.0403741187474,0.0750002205889,0.53832
"('332722', 'Bolt, Nut, Screw, Rivet, and Washer Manufacturing')",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",0.0,0.0,16,2748,3014,117559,5436071,25818721,,0.136101872251,
"('3328', 'Coating, Engraving, Heat Treating, and Allied Activities')",3328,"Coating, Engraving, Heat Treating, and Allied Activities",0.0,0.0,6,20604,22044,413428,15786268,74640604,,0.0145128051317,
"('33281', 'Coating, Engraving, Heat Treating, and Allied Activities')",33281,"Coating, Engraving, Heat Treating, and Allied Activities",0.0,0.0,5,20604,22044,413428,15786268,74640604,,0.0120940042764,
"('332811', 'Metal Heat Treating')",332811,Metal Heat Treating,1414.28,1.0,6,2098,2485,60178,2752279,11992438,0.0235016118847,0.0997042108412,0.235713333333
"('332812', 'Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers')",332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",224.5,0.5,26,8911,9525,174021,6608046,41461215,0.00129007418645,0.149407255446,0.00863461538462
"('332813', 'Electroplating, Plating, Polishing, Anodizing, and Coloring')",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",719.12,1.0,27,9718,10034,179229,6425943,21186951,0.0040122971171,0.15064526388,0.0266340740741
"('3329', 'Other Fabricated Metal Product Manufacturing')",3329,Other Fabricated Metal Product Manufacturing,0.0,0.0,34,21137,22365,692514,31120365,165632473,,0.04909648036,
"('33291', 'Metal Valve Manufacturing')",33291,Metal Valve Manufacturing,0.0,0.0,4,3489,4008,238304,11305147,64995791,,0.0167852826642,
"('332911', 'Industrial Valve Manufacturing')",332911,Industrial Valve Manufacturing,0.0,0.0,4,1315,1507,88847,4265383,25691838,,0.0450212162482,
"('332912', 'Fluid Power Valve and Hose Fitting Manufacturing')",332912,Fluid Power Valve and Hose Fitting Manufacturing,0.0,0.0,10,1020,1183,85672,4158188,19242982,,0.11672425063,
"('332913', 'Plumbing Fixture Fitting and Trim Manufacturing')",332913,Plumbing Fixture Fitting and Trim Manufacturing,45.0,1.0,9,451,484,25042,1033562,9046325,0.0017969810718,0.35939621436,0.005
"('332919', 'Other Metal Valve and Pipe Fitting Manufacturing')",332919,Other Metal Valve and Pipe Fitting Manufacturing,0.0,0.0,14,770,834,38743,1848014,11014646,,0.361355599721,
"('33299', 'All Other Fabricated Metal Product Manufacturing')",33299,All Other Fabricated Metal Product Manufacturing,881.74,2.0,50,17727,18357,454210,19815218,100636682,0.00194126065036,0.110081239955,0.0176348
"('332991', 'Ball and Roller Bearing Manufacturing')",332991,Ball and Roller Bearing Manufacturing,0.0,0.0,10,350,499,61309,2890250,16997537,,0.163108189662,
"('332992', 'Small Arms Ammunition Manufacturing')",332992,Small Arms Ammunition Manufacturing,1263.075,5.5,10,366,372,17180,776745,3996244,0.0735200814901,0.58207217695,0.1263075
"('332993', 'Ammunition (except Small Arms) Manufacturing')",332993,Ammunition (except Small Arms) Manufacturing,0.0,0.0,4,123,143,13386,653783,3887495,,0.298819662334,
"('332994', 'Small Arms Manufacturing')",332994,Small Arms Manufacturing,6999.58,3.0,7,798,824,30702,1507157,7669154,0.227984496124,0.227998176015,0.99994
"('332995', 'Other Ordnance and Accessories Manufacturing')",332995,Other Ordnance and Accessories Manufacturing,0.0,0.0,4,288,309,12543,790753,3786807,,0.31890297377,
"('332996', 'Fabricated Pipe and Pipe Fitting Manufacturing')",332996,Fabricated Pipe and Pipe Fitting Manufacturing,2754.34,1.0,29,2491,2623,74824,3195630,17293713,0.0368109162835,0.387576178766,0.0949772413793
"('332997', 'Industrial Pattern Manufacturing')",332997,Industrial Pattern Manufacturing,0.0,0.0,9,1669,1681,16334,711466,1932090,,0.550997918452,
"('332999', 'All Other Miscellaneous Fabricated Metal Product Manufacturing')",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,271.39,1.0,168,11416,11624,215376,8743249,41679224,0.00126007540302,0.780031201248,0.00161541666667
"('3331', 'Agriculture, Construction, and Mining Machinery Manufacturing')",3331,"Agriculture, Construction, and Mining Machinery Manufacturing",0.0,0.0,35,9729,10525,497747,23332784,198068841,,0.0703168477158,
"('33311', 'Agricultural Implement Manufacturing')",33311,Agricultural Implement Manufacturing,0.0,0.0,15,4563,4781,200165,7930532,70403435,,0.0749381760048,
"('333111', 'Farm Machinery and Equipment Manufacturing')",333111,Farm Machinery and Equipment Manufacturing,0.0,0.0,41,4080,4252,148830,6305361,34507297,,0.275482093664,
"('333112', 'Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing')",333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,0.0,0.0,20,496,529,51335,1625171,18239769,,0.389597740333,
"('33312', 'Construction Machinery Manufacturing')",33312,Construction Machinery Manufacturing,36673.66,14.0,3,2425,2676,167694,7975102,82411681,0.218693930612,0.0178897277183,12.2245533333
"('333120', 'Construction Machinery Manufacturing')",333120,Construction Machinery Manufacturing,0.0,0.0,19,2425,2676,167694,7975102,82411681,,0.113301608883,
"('33313', 'Mining and Oil and Gas Field Machinery Manufacturing')",33313,Mining and Oil and Gas Field Machinery Manufacturing,51046.46,15.0,1,2784,3068,129579,7427150,45253725,0.393940839179,0.00771729987112,51.04646
"('333131', 'Mining Machinery and Equipment Manufacturing')",333131,Mining Machinery and Equipment Manufacturing,0.0,0.0,3,839,903,24468,1173325,6576041,,0.122609122119,
"('333132', 'Oil and Gas Field Machinery and Equipment Manufacturing')",333132,Oil and Gas Field Machinery and Equipment Manufacturing,3627.8,2.0,21,1951,2165,99886,5983233,36996538,0.0363194041207,0.210239673227,0.172752380952
"('3332', 'Industrial Machinery Manufacturing')",3332,Industrial Machinery Manufacturing,38390.46,20.5,8,13228,13710,358073,20190601,99723179,0.107214059703,0.0223418129823,4.7988075
"('33321', 'Sawmill and Woodworking Machinery Manufacturing')",33321,Sawmill and Woodworking Machinery Manufacturing,0.0,0.0,5,1023,1050,19474,818617,3424542,,0.256752593201,
"('333210', 'Sawmill and Woodworking Machinery Manufacturing')",333210,Sawmill and Woodworking Machinery Manufacturing,0.0,0.0,24,1023,1050,19474,818617,3424542,,1.23241244737,
"('333220', 'Plastics and Rubber Industry Machinery Manufacturing')",333220,Plastics and Rubber Industry Machinery Manufacturing,9196.38,5.0,1,1850,1886,43743,2160748,9956933,0.210236609286,0.0228608005852,9.19638
"('33329', 'Other Industrial Machinery Manufacturing')",33329,Other Industrial Machinery Manufacturing,3072.7,1.0,11,10377,10774,294856,17211236,86341704,0.0104210190737,0.0373063461486,0.279336363636
"('333291', 'Paper Industry Machinery Manufacturing')",333291,Paper Industry Machinery Manufacturing,4230.5,2.0,2,850,904,26959,1514920,6433205,0.15692347639,0.0741867279944,2.11525
"('333292', 'Textile Machinery Manufacturing')",333292,Textile Machinery Manufacturing,117783.1,27.5,2,1181,1214,17701,755004,2868584,6.65403649511,0.112987966782,58.89155
"('333293', 'Printing Machinery and Equipment Manufacturing')",333293,Printing Machinery and Equipment Manufacturing,0.0,0.0,3,1459,1541,33473,1775560,7432010,,0.0896244734562,
"('333294', 'Food Product Machinery Manufacturing')",333294,Food Product Machinery Manufacturing,271.12,1.0,10,1716,1786,48713,2705582,12206736,0.00556566009074,0.205284010428,0.027112
"('333295', 'Semiconductor Machinery Manufacturing')",333295,Semiconductor Machinery Manufacturing,0.0,0.0,9,675,722,55683,4666041,31918135,,0.161629222563,
"('333298', 'All Other Industrial Machinery Manufacturing')",333298,All Other Industrial Machinery Manufacturing,13.075,0.5,30,4539,4607,106616,5453277,23629710,0.000122636377279,0.281383657237,0.000435833333333
"('3333', 'Commercial and Service Industry Machinery Manufacturing')",3333,Commercial and Service Industry Machinery Manufacturing,44452.97,11.5,4,7712,8070,246872,12227859,61654446,0.180064851421,0.0162027285395,11.1132425
"('33331', 'Commercial and Service Industry Machinery Manufacturing')",33331,Commercial and Service Industry Machinery Manufacturing,5867.44,2.0,8,7712,8070,246872,12227859,61654446,0.0237671343854,0.032405457079,0.73343
"('333311', 'Automatic Vending Machine Manufacturing')",333311,Automatic Vending Machine Manufacturing,0.0,0.0,11,300,310,11940,432210,2515120,,0.921273031826,
"('333312', 'Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing')",333312,"Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing",3871.45,2.0,39,160,166,7391,303440,1501489,0.523805980246,5.27668786362,0.0992679487179
"('333313', 'Office Machinery Manufacturing')",333313,Office Machinery Manufacturing,4807.53,1.5,2,330,340,21916,1231703,6045228,0.219361653586,0.0912575287461,2.403765
"('333314', 'Optical Instrument and Lens Manufacturing')",333314,Optical Instrument and Lens Manufacturing,3527.3,10.0,9,1561,1614,44859,2606721,9851957,0.078630821017,0.200628636394,0.391922222222
"('333315', 'Photographic and Photocopying Equipment Manufacturing')",333315,Photographic and Photocopying Equipment Manufacturing,3364.65,2.5,2,868,892,16424,838204,5332418,0.204861787628,0.1217730151,1.682325
"('333319', 'Other Commercial and Service Industry Machinery Manufacturing')",333319,Other Commercial and Service Industry Machinery Manufacturing,0.0,0.0,31,4515,4748,140450,6626554,34343451,,0.220719117124,
"('3334', 'Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing')",3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",0.0,0.0,7,5285,5945,354286,14559847,93938073,,0.0197580485822,
"('33341', 'Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing')",33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",0.0,0.0,25,5285,5945,354286,14559847,93938073,,0.0705644592222,
"('333411', 'Air Purification Equipment Manufacturing')",333411,Air Purification Equipment Manufacturing,0.0,0.0,9,1070,1173,37885,1477080,7732354,,0.237561039989,
"('333412', 'Industrial and Commercial Fan and Blower Manufacturing')",333412,Industrial and Commercial Fan and Blower Manufacturing,0.0,0.0,3,463,512,27858,1149531,5857554,,0.107688994185,
"('333414', 'Heating Equipment (except Warm Air Furnaces) Manufacturing')",333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,0.0,0.0,12,1386,1448,46710,2039891,11360278,,0.256904303147,
"('333415', 'Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing')",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,0.0,144,2421,2812,232780,9510776,66451487,,0.618609846207,
"('3335', 'Metalworking Machinery Manufacturing')",3335,Metalworking Machinery Manufacturing,0.0,0.0,7,28777,29478,504279,24968230,83108883,,0.0138812046506,
"('33351', 'Metalworking Machinery Manufacturing')",33351,Metalworking Machinery Manufacturing,661.7,1.0,9,28777,29478,504279,24968230,83108883,0.00131217044533,0.0178472631222,0.0735222222222
"('333511', 'Industrial Mold Manufacturing')",333511,Industrial Mold Manufacturing,8288.825,2.5,10,7295,7418,115196,5509628,15985568,0.0719541043092,0.086808569742,0.8288825
"('333512', 'Machine Tool (Metal Cutting Types) Manufacturing')",333512,Machine Tool (Metal Cutting Types) Manufacturing,8728.785,9.0,12,2039,2075,47503,2912362,11746014,0.183752289329,0.252615624276,0.72739875
"('333513', 'Machine Tool (Metal Forming Types) Manufacturing')",333513,Machine Tool (Metal Forming Types) Manufacturing,252.0,0.5,6,1009,1039,25813,1326129,5197814,0.00976252275985,0.232441018092,0.042
"('333514', 'Special Die and Tool, Die Set, Jig, and Fixture Manufacturing')",333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",0.0,0.0,20,11613,11758,169375,8195470,24486800,,0.118081180812,
"('333515', 'Cutting Tool and Machine Tool Accessory Manufacturing')",333515,Cutting Tool and Machine Tool Accessory Manufacturing,377.48,2.0,7,5470,5624,102026,4532381,15568063,0.00369984121694,0.0686099621665,0.0539257142857
"('333516', 'Rolling Mill Machinery and Equipment Manufacturing')",333516,Rolling Mill Machinery and Equipment Manufacturing,0.0,0.0,1,223,232,8605,509073,2545909,,0.116211504939,
"('333518', 'Other Metalworking Machinery Manufacturing')",333518,Other Metalworking Machinery Manufacturing,0.0,0.0,17,1278,1332,35414,1978000,7552511,,0.480036143898,
"('3336', 'Engine, Turbine, and Power Transmission Equipment Manufacturing')",3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.0,0.0,7,2639,2979,230626,11587792,91259861,,0.0303521719147,
"('33361', 'Engine, Turbine, and Power Transmission Equipment Manufacturing')",33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.0,0.0,13,2639,2979,230626,11587792,91259861,,0.0563683192702,
"('333611', 'Turbine and Turbine Generator Set Units Manufacturing')",333611,Turbine and Turbine Generator Set Units Manufacturing,0.0,0.0,3,431,479,44566,2588668,16704204,,0.067315891038,
"('333612', 'Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing')",333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",37850.25,20.5,2,684,756,33149,1632774,7643922,1.14182177441,0.0603336450572,18.925125
"('333613', 'Mechanical Power Transmission Equipment Manufacturing')",333613,Mechanical Power Transmission Equipment Manufacturing,515.74,1.0,11,640,712,38898,1900195,9814809,0.0132587793717,0.282790888992,0.0468854545455
"('333618', 'Other Engine Equipment Manufacturing')",333618,Other Engine Equipment Manufacturing,0.0,0.0,19,922,1032,113874,5466155,57096926,,0.166851081019,
"('3339', 'Other General Purpose Machinery Manufacturing')",3339,Other General Purpose Machinery Manufacturing,0.0,0.0,3,19972,21428,728285,37029370,205523071,,0.00411926649595,
"('33391', 'Pump and Compressor Manufacturing')",33391,Pump and Compressor Manufacturing,58997.5,11.0,4,2493,2826,136098,7391316,49078878,0.433492777263,0.0293905861952,14.749375
"('333911', 'Pump and Pumping Equipment Manufacturing')",333911,Pump and Pumping Equipment Manufacturing,3021.01,1.0,11,1448,1626,71932,3980597,25710492,0.0419981371295,0.152922204304,0.274637272727
"('333912', 'Air and Gas Compressor Manufacturing')",333912,Air and Gas Compressor Manufacturing,948.78,2.0,7,972,1088,54214,2846475,20565197,0.0175006455897,0.129117940015,0.13554
"('333913', 'Measuring and Dispensing Pump Manufacturing')",333913,Measuring and Dispensing Pump Manufacturing,0.0,0.0,2,106,112,9650,551920,2746138,,0.20725388601,
"('33392', 'Material Handling Equipment Manufacturing')",33392,Material Handling Equipment Manufacturing,322.0,0.5,6,5468,5776,212698,10395074,63198414,0.0015138835344,0.0282090099578,0.0536666666667
"('333921', 'Elevator and Moving Stairway Manufacturing')",333921,Elevator and Moving Stairway Manufacturing,0.0,0.0,35,590,613,20114,921492,4955320,,1.74008153525,
"('333922', 'Conveyor and Conveying Equipment Manufacturing')",333922,Conveyor and Conveying Equipment Manufacturing,0.0,0.0,15,2591,2699,87467,4468537,19665931,,0.171493248882,
"('333923', 'Overhead Traveling Crane, Hoist, and Monorail System Manufacturing')",333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",10953.5,10.0,13,937,1021,39369,2140157,16853888,0.278226523407,0.330209047728,0.842576923077
"('333924', 'Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing')",333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",1680.18,1.5,26,1370,1443,65748,2864888,21723275,0.0255548457748,0.395449291233,0.0646223076923
"('33399', 'All Other General Purpose Machinery Manufacturing')",33399,All Other General Purpose Machinery Manufacturing,0.0,0.0,8,12146,12826,379489,19242980,93245779,,0.0210809799494,
"('333991', 'Power-Driven Handtool Manufacturing')",333991,Power-Driven Handtool Manufacturing,0.0,0.0,1,494,526,18711,815119,5762777,,0.0534444978889,
"('333992', 'Welding and Soldering Equipment Manufacturing')",333992,Welding and Soldering Equipment Manufacturing,0.0,0.0,77,1000,1050,41818,2142213,13655597,,1.84131235353,
"('333993', 'Packaging Machinery Manufacturing')",333993,Packaging Machinery Manufacturing,6144.48,3.0,5,2050,2122,59724,3210066,12482250,0.102881253767,0.0837184381488,1.228896
"('333994', 'Industrial Process Furnace and Oven Manufacturing')",333994,Industrial Process Furnace and Oven Manufacturing,3387.02,2.0,4,1139,1193,31636,1596390,7090171,0.107062207612,0.126438234922,0.846755
"('333995', 'Fluid Power Cylinder and Actuator Manufacturing')",333995,Fluid Power Cylinder and Actuator Manufacturing,0.0,0.0,1,934,1050,48415,2525529,12087435,,0.0206547557575,
"('333996', 'Fluid Power Pump and Motor Manufacturing')",333996,Fluid Power Pump and Motor Manufacturing,13173.23,4.5,6,505,571,32667,1634041,9173829,0.403258027979,0.183671595188,2.19553833333
"('333997', 'Scale and Balance Manufacturing')",333997,Scale and Balance Manufacturing,2030.56,2.0,1,332,347,8464,397080,1709128,0.239905482042,0.118147448015,2.03056
"('333999', 'All Other Miscellaneous General Purpose Machinery Manufacturing')",333999,All Other Miscellaneous General Purpose Machinery Manufacturing,0.0,0.0,37,5787,5967,135426,6803135,30686513,,0.273211938623,
"('3341', 'Computer and Peripheral Equipment Manufacturing')",3341,Computer and Peripheral Equipment Manufacturing,26274.48,12.0,3,4522,4623,226156,16647687,138861218,0.116178567007,0.0132651797874,8.75816
"('33411', 'Computer and Peripheral Equipment Manufacturing')",33411,Computer and Peripheral Equipment Manufacturing,0.0,0.0,19,4522,4623,226156,16647687,138861218,,0.0840128053202,
"('334111', 'Electronic Computer Manufacturing')",334111,Electronic Computer Manufacturing,3561.18,3.5,26,1573,1595,78697,5617558,67722742,0.0452517885053,0.330381081871,0.136968461538
"('334112', 'Computer Storage Device Manufacturing')",334112,Computer Storage Device Manufacturing,0.0,0.0,13,423,437,41264,3351499,17414417,,0.315044590927,
"('334113', 'Computer Terminal Manufacturing')",334113,Computer Terminal Manufacturing,0.0,0.0,5,172,172,1892,123928,567081,,2.64270613108,
"('334119', 'Other Computer Peripheral Equipment Manufacturing')",334119,Other Computer Peripheral Equipment Manufacturing,0.0,0.0,31,2367,2419,103210,7440205,52714572,,0.300358492394,
"('3342', 'Communications Equipment Manufacturing')",3342,Communications Equipment Manufacturing,7687.24,19.0,3,5663,6155,350240,30749816,142534663,0.0219484924623,0.00856555504797,2.56241333333
"('33421', 'Telephone Apparatus Manufacturing')",33421,Telephone Apparatus Manufacturing,8275.13,6.5,4,1115,1226,63735,6789691,26359233,0.129836510552,0.0627598650663,2.0687825
"('334210', 'Telephone Apparatus Manufacturing')",334210,Telephone Apparatus Manufacturing,0.0,0.0,3,1115,1226,63735,6789691,26359233,,0.0470698987997,
"('33422', 'Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing')",33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,654.51,5.0,9,2984,3258,211073,17285620,87485890,0.00310087031501,0.0426392764589,0.0727233333333
"('334220', 'Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing')",334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,2249.93,2.0,26,2984,3258,211073,17285620,87485890,0.0106594874759,0.123180131992,0.0865357692308
"('33429', 'Other Communications Equipment Manufacturing')",33429,Other Communications Equipment Manufacturing,0.0,0.0,6,1607,1671,44973,2308701,12478495,,0.133413381362,
"('334290', 'Other Communications Equipment Manufacturing')",334290,Other Communications Equipment Manufacturing,492.03,0.5,16,1607,1671,44973,2308701,12478495,0.0109405643386,0.355769016966,0.030751875
"('3343', 'Audio and Video Equipment Manufacturing')",3343,Audio and Video Equipment Manufacturing,0.0,0.0,5,1903,1948,45980,2161999,19915211,,0.108742931709,
